Date,Time,Latitude,Longitude,Depth,Magnitude,Location
28 February 2018,11:57 PM,14.10,122.52,001,2.0,016 km N 06° W of Tagkawayan (Quezon)
28 February 2018,11:43 PM,08.99,122.78,011,2.0,029 km S 74° W of Siaton (Negros Oriental)
28 February 2018,11:05 PM,13.25,120.20,014,2.5,034 km S 58° W of Paluan (Occidental Mindoro)
28 February 2018,10:22 PM,14.27,120.50,139,2.0,019 km S 06° E of Mariveles (Bataan)
28 February 2018,09:11 PM,05.65,126.99,132,3.3,151 km S 42° E of Governor Generoso (Davao Oriental)
28 February 2018,09:04 PM,07.47,124.23,032,2.1,006 km S 22° W of Matanog (Maguindanao)
28 February 2018,07:44 PM,13.73,122.73,004,2.1,012 km S32° W of Ragay (Camarines Sur)
28 February 2018,02:49 PM,02.74,126.73,191,4.0,"329 km S25° E of Sarangani (Davao 
			Occidental)"
28 February 2018,12:30 PM,16.32,119.95,029,2.1,003 km N06° W of Anda (Pangasinan)
28 February 2018,11:12 AM,11.71,125.74,029,3.0,031 km S81° E of San Julian (Samar)
28 February 2018,09:12 AM,13.38,120.49,021,2.2,"004 km S33° E of Paluan (Occidental 
			Mindoro)"
28 February 2018,07:09 AM,15.32,122.35,042,2.6,063 km N14° E of Patnanungan (Quezon)
28 February 2018,05:24 AM,06.65,126.66,112,2.3,"050 kmS 29° E of Tarragona (Davao 
			Oriental)"
28 February 2018,04:02 AM,14.64,123.06,029,2.5,"049 km N37° E of Paracale (Camarines 
			Norte)"
28 February 2018,04:01 AM,19.76,121.83,028,2.0,065 km N36° E of Calayan (Cagayan)
28 February 2018,03:20 AM,06.05,126.04,136,2.5,"042 km S67° E of Don Marcelino (Davao 
			Occidental)"
27 February 2018,11:10 PM,09.38,121.27,025,2.8,023 km S17° E of Cagayancillo (Palawan)
27 February 2018,09:27 PM,10.98,126.15,030,3.1,"047 km S 83° 
			E of Guiuan (Eastern Samar)"
27 February 2018,04:45 PM,10.95,126.20,017,4.1,053 km S 80° E of Guiuan (Eastern Samar)
27 February 2018,04:23 PM,11.00,126.06,018,3.3,037 km S 85° E of Guiuan (Eastern Samar)
27 February 2018,03:40 PM,13.79,120.49,089,2.5,016 km S 74° W of Calatagan (Batangas)
27 February 2018,08:42 AM,06.20,126.33,062,4.0,"057 km S30° E of Governor Generoso 
			(Davao Oriental)"
27 February 2018,06:06 AM,10.92,126.21,016,3.6,055 km S77° E of Guiuan (Eastern Samar)
27 February 2018,04:18 AM,06.44,125.88,020,2.6,"030 km N 85° W of Malita (Davao 
			Occidental)"
27 February 2018,01:23 AM,03.29,126.01,078,3.1,"245 km S14° E of Sarangani (Davao 
			Occidental)"
27 February 2018,12:21 AM,06.82,126.36,029,3.4,021 km S 47° E of Mati (Davao Oriental)
26 February 2018,11:51 PM,09.90,123.97,002,2.4,006 km N 40° W of Catigbian (Bohol)
26 February 2018,11:15 PM,13.79,124.28,018,2.0,"009 km S 07° W of Viga 
			(Catanduanes)"
26 February 2018,07:15 PM,13.34,121.53,022,2.5,"025 km N85° EofNaujan 
			(Oriental Mindoro)"
26 February 2018,06:59 PM,13.58,120.91,008,2.5,"010 km S25° EofTingloy 
			(Batangas)"
